sample,bam,bai
SGULP15_1,s3://volta-labs-sequencing-data/illumina/ILMN159/bam/SGULP15_1_aligned_sorted.bam,s3://volta-labs-sequencing-data/illumina/ILMN159/bam/SGULP15_1_aligned_sorted.bam.bai
SGULP15_2,s3://volta-labs-sequencing-data/illumina/ILMN159/bam/SGULP15_2_aligned_sorted.bam,s3://volta-labs-sequencing-data/illumina/ILMN159/bam/SGULP15_2_aligned_sorted.bam.bai
